Text Slug,,#char,#words,LW #char,2-line #char,max rows,Bal #row,,Min Slope,Lx1 cells,Max Slope,2xH cells,,Graphic text sticker,Magic text Sticker,,OccasionScore0,OccasionScore1,OccasionScore2,OccasionScore3,,Automation,,keyword 1,keyword 2,keyword 3,keyword 4,keyword 5,keyword 6,keyword 7,keyword 8,keyword 9,keyword 10,keyword 11,keyword 12,,
,,,,,,,,,3,,3,,,1/0,1/0,,0,1,2,3,,,,,,,,,,,,,,,,,
12-months-of-baby,,17,4,6,8,4,3,,0.18,6,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-child-is-the-greatest-gift,,28,6,8,14,6,3,,0.11,10,1.00,2,,0,1,,,,,baby,,yes,,newborn,,,,,,,,,,,,,
a-childs-laughter-is-the-most-beautiful-sound,,45,8,9,22,8,5,,0.07,15,1.67,4,,0,1,,,,,kids,,yes,,kid:all,laughing:all,,,,,,,,,,,,
a-chorus-caroling-friends,,25,4,8,12,4,3,,0.12,9,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-city-with-a-past,,18,5,4,9,5,4,,0.17,6,2.00,4,,0,1,,,,,travel,,Yes,,monument,ruins,castle,statue,column,steeple,dome,spire,architecture,,,,,
a-classic,,9,2,7,4,2,2,,0.33,3,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-collection-of-our-favorite-moments,,36,6,10,18,6,4,,0.08,12,1.00,2,,0,1,,"travel, family, seasonal-holidays, year-in-review, everyday, life-stories, kids, baby, birthday",,,,,Yes,,people,child,kid,baby,person,,,,,,,,,
a-day-at-the-farm,,17,5,4,8,5,4,,0.18,6,2.00,4,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-day-at-the-zoo,,16,5,3,8,5,4,,0.19,6,4.00,8,,0,1,,,,,,,Yes,,zoo:all,person:all,animal:all,,,,,,,,,,,
a-day-filled-with-lots-of-love,,30,7,6,15,7,4,,0.10,10,2.00,4,,0,1,,"family, seasonal-holidays, year-in-review, everyday, life-stories, kids, baby, birthday",,,,,Yes,,person:all,smile:all,,,,,,,,,,,,
a-day-just-for,,14,4,4,7,4,3,,0.21,5,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-day-to-remember,,17,4,8,8,4,2,,0.18,6,0.67,2,,0,1,,"birthday, everyday, life-stories, baby-shower, baby, kids, special-celebrations, seasonal-holidays, year-in-review",,,,,Yes,,,,,,,,,,,,,,,
a-day-we-will-never-forget,,26,6,6,13,6,4,,0.12,9,2.00,4,,0,1,,,,,wedding,,yes,,person:all,smile:all,,,,,,,,,,,,
a-day-well-spent,,16,4,5,8,4,3,,0.19,6,1.50,3,,0,1,,"travel, family, seasonal-holidays, year-in-review, everyday, life-stories, kids, baby, birthday",,,,,Yes,,person:all,smile:all,,,,,,,,,,,,
a-disney-style-happiness,,24,4,9,12,4,3,,0.13,8,1.00,2,,0,1,,,,"travel, family, kids, year-in-review, everyday, life-stories, seasonal-holidays",,,Yes,,amusement park:all,smile:all,person:all,,,,,,,,,,,
a-distracting-view,,18,3,11,9,3,2,,0.17,6,0.50,1,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-family-of-characters,,22,4,10,11,4,2,,0.14,8,0.50,1,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-few-of-my-favorite-things,,27,6,8,13,6,3,,0.11,9,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-future-full-of-laughs,,23,5,6,11,5,4,,0.13,8,2.00,4,,0,1,,,,,"kids, baby",,Yes,,baby:all,laughing:all,portrait:all,,,,,,,,,,,
a-future-full-of-smiles,,23,5,6,11,5,4,,0.13,8,2.00,4,,0,1,,,,,"kids, baby",,Yes,,baby:all,smile:all,portrait:all,,,,,,,,,,,
a-glimpse-of-perfection,,23,4,10,11,4,2,,0.13,8,0.50,1,,0,1,,,"baby, travel, seasonal-holidays, family, year-in-review",,,,Yes,,baby,sunrise,sunset,mountain,landscape,monument,,,,,,,,
a-good-life-begins-with-purpose-and-passion,,43,8,7,21,8,6,,0.07,15,2.00,4,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-good-memory,,13,3,6,6,3,2,,0.23,5,1.00,2,,0,1,,"travel, family, seasonal-holidays, year-in-review, everyday, life-stories, kids, baby, birthday, special-celebrations, baby-shower",,,,,No,,,,,,,,,,,,,,,
a-good-year,,11,3,4,5,3,3,,0.27,4,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-great-day,,11,3,5,5,3,2,,0.27,4,1.00,2,,0,1,,"travel, family, baby, baby-shower, seasonal-holidays, kids, year-in-review, special-celebrations, sports-and-hobbies, everyday",,,,,Yes,,outdoors,sunlight,sun hat,zoo,,amusement park,person,theme park,,,,,,
a-is-for-athletics,,18,4,9,9,4,2,,0.17,6,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-jete-away-from-stardom,,24,5,7,12,5,3,,0.13,8,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-job-well-done,,15,4,4,7,4,3,,0.20,5,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-journey-of-life,,17,4,7,8,4,2,,0.18,6,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-la-carte,,10,3,5,5,3,2,,0.30,4,1.00,2,,0,1,,,,,"travel, kids, birthday, year-in-review, seasonal-holidays, everyday, life-stories, special-celebrations, family",,Yes,,food,pasta,eating,,,,,,,,,,,
a-leap-of-faith,,15,4,5,7,4,3,,0.20,5,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-list-of-favorite-books,,24,5,8,12,5,3,,0.13,8,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-little-about,,14,3,6,7,3,2,,0.21,5,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-little-bit-about-today,,24,5,6,12,5,4,,0.13,8,2.00,4,,0,1,,"travel, family, baby, baby-shower, seasonal-holidays, kids, year-in-review, special-celebrations, sports-and-hobbies, everyday",,,,,Yes,,,,,,,,,,,,,,,
a-little-bit-of-crazy,,21,5,6,10,5,3,,0.14,7,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-little-sun-goes-a-long-way,,28,7,6,14,7,4,,0.11,10,2.00,4,,0,1,,,"travel, family, everyday, life-stories, year-in-review, kids, seasonal-holidays",,,,Yes,,outdoors,sun hat,sunglasses,sunlight,,,,,,,,,,
a-moment-to-remember,,20,4,8,10,4,3,,0.15,7,1.00,2,,0,1,,"travel, family, seasonal-holidays, year-in-review, everyday, life-stories, kids, baby, birthday, special-celebrations, baby-shower",,,,,Yes,,person:all,smile:all,fun:all,,,,,,,,,,,
a-new-school-year,,17,4,6,8,4,3,,0.18,6,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-perfect-day,,13,3,7,6,3,2,,0.23,5,0.67,2,,0,1,,,,,wedding,,yes,,person:all,kissing:all,,,,,,,,,,,,
a-perfect-day-for-a-portrait,,28,6,8,14,6,3,,0.11,10,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-perfect-drive,,15,3,7,7,3,2,,0.20,5,0.67,2,,0,1,,,,"travel, year-in-review, family, everyday",,,Yes,,road:all,vehicle:all,,,,,,,,,,,,
a-perfect-wherever-the-road-takes-you-kind-of-day,,49,10,8,24,10,5,,0.06,17,1.67,4,,0,1,,,,travel,,,Yes,,road:all,vehicle:all,,,,,,,,,,,,
a-picture-may-be-worth-a-thousand-words-but-yours-leaves-me-speechless,,70,13,10,35,13,6,,0.04,24,1.50,3,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-piece-of-paradise,,19,4,8,9,4,2,,0.16,7,0.67,2,,0,1,,"travel, family, everyday, life-stories, year-in-review, kids, seasonal-holidays",,,,,Yes,,beach,palm tree,pool,,,,,,,,,,,
a-princess-sighting,,19,3,8,9,3,3,,0.16,7,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-roam-in-the-park,,18,5,4,9,5,4,,0.17,6,2.00,4,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-season-of-sunshine-and-smiles-lots-of-smiles,,46,9,8,23,9,5,,0.07,16,1.67,4,,0,1,,,,"travel, family, seasonal-holidays, year-in-review, everyday, life-stories, kids, baby, birthday, special-celebrations",,,Yes,,smile,,,,,,,,,,,,,
a-season-of-surprises,,21,4,9,10,4,2,,0.14,7,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-show-in-the-sky,,17,5,4,8,5,4,,0.18,6,2.00,4,,0,1,,,,,"travel, family, kids, year-in-review, everyday, life-stories, seasonal-holidays",,Yes,,fireworks,aurora,,,,,,,,,,,,
a-shower-of-good-wishes,,23,5,6,11,5,4,,0.13,8,2.00,4,,0,1,,baby-shower,,,,,Yes,,,,,,,,,,,,,,,
a-slice-of-history-preserved,,28,5,9,14,5,3,,0.11,10,1.00,2,,0,1,,,,travel,,,Yes,,ruins,castle,statue,,,,,,,,,,,
a-special-day,,13,3,7,6,3,2,,0.23,5,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-special-day-for-mom,,21,5,7,10,5,3,,0.14,7,1.00,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-stroller-break,,16,3,8,8,3,2,,0.19,6,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-tale-of-strength,,18,4,8,9,4,2,,0.17,6,0.67,2,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-taste-of-paradise,,19,4,8,9,4,2,,0.16,7,0.67,2,,0,1,,,"travel, family, seasonal-holidays, kids, year-in-review, everyday",,,,Yes,,beach,palm tree,sand,shoreline,,,,,,,,,,
a-toast-to-the-groom,,20,5,5,10,5,4,,0.15,7,2.00,4,,0,1,,,,,,,No,,,,,,,,,,,,,,,
a-trip-to-remember,,18,4,8,9,4,2,,0.17,6,0.67,2,,0,1,,travel,,,,,Yes,,,,,,,,,,,,,,,
a-trip-to-the-park,,18,5,4,9,5,4,,0.17,6,2.00,4,,0,1,,,,,,,No,,,,,,,,,,,,,,,
